Parcela,long_hoja
Parcela 1,11
Parcela 1,17
Parcela 1,16
Parcela 1,14
Parcela 1,23
Parcela 1,16
Parcela 1,16
Parcela 1,9
Parcela 1,16
Parcela 1,11
Parcela 1,6
Parcela 1,11
Parcela 1,5
Parcela 1,5
Parcela 1,4
Parcela 1,6
Parcela 1,16
Parcela 1,4
Parcela 1,7
Parcela 1,6
Parcela 1,14
Parcela 1,13
Parcela 1,16
Parcela 1,15
Parcela 1,16
Parcela 1,23
Parcela 1,8
Parcela 1,6
Parcela 1,18
Parcela 1,16
Parcela 1,10
Parcela 1,15
Parcela 1,20
Parcela 1,18
Parcela 1,12
Parcela 1,14
Parcela 1,17
Parcela 1,14
Parcela 1,16
Parcela 1,15
Parcela 1,17
Parcela 1,14
Parcela 1,17
Parcela 1,14
Parcela 1,16
Parcela 1,15
Parcela 1,17
Parcela 1,14
Parcela 1,17
Parcela 1,23
Parcela 1,20
Parcela 1,8
Parcela 1,21
Parcela 1,14
Parcela 1,14
Parcela 1,24
Parcela 1,20
Parcela 1,15
Parcela 1,13
Parcela 1,19
Parcela 1,19
Parcela 1,23
Parcela 1,11
Parcela 1,9
Parcela 1,11
Parcela 1,21
Parcela 1,17
Parcela 1,13
Parcela 1,12
Parcela 1,23
Parcela 1,7
Parcela 1,18
Parcela 1,15
Parcela 1,20
Parcela 1,14
Parcela 1,15
Parcela 1,20
Parcela 1,16
Parcela 1,18
Parcela 1,10
Parcela 1,18
Parcela 1,14
Parcela 1,8
Parcela 1,13
Parcela 1,19
Parcela 1,9
Parcela 1,24
Parcela 1,28
Parcela 1,14
Parcela 1,17
Parcela 1,9
Parcela 1,10
Parcela 1,14
Parcela 1,17
Parcela 1,18
Parcela 1,15
Parcela 1,21
Parcela 1,18
Parcela 1,20
Parcela 1,16
Parcela 1,17
Parcela 1,14
Parcela 1,18
Parcela 1,13
Parcela 1,23
Parcela 1,15
Parcela 1,13
Parcela 1,14
Parcela 1,16
Parcela 1,13
Parcela 1,20
Parcela 1,11
Parcela 1,16
Parcela 1,18
Parcela 1,18
Parcela 1,16
Parcela 1,12
Parcela 1,16
Parcela 1,12
Parcela 1,19
Parcela 1,11
Parcela 1,13
Parcela 1,18
Parcela 1,17
Parcela 1,22
Parcela 1,20
Parcela 1,11
Parcela 1,23
Parcela 1,18
Parcela 1,13
Parcela 1,21
Parcela 1,21
Parcela 1,19
Parcela 1,17
Parcela 1,18
Parcela 1,10
Parcela 1,17
Parcela 1,15
Parcela 1,21
Parcela 1,22
Parcela 1,16
Parcela 1,16
Parcela 1,13
Parcela 1,18
Parcela 1,17
Parcela 1,20
Parcela 1,23
Parcela 1,17
Parcela 1,20
Parcela 1,22
Parcela 1,14
Parcela 1,19
Parcela 1,24
Parcela 2,14
Parcela 2,21.8
Parcela 2,24.3
Parcela 2,23.5
Parcela 2,25.8
Parcela 2,18
Parcela 2,23.2
Parcela 2,21.6
Parcela 2,21.6
Parcela 2,24.5
Parcela 2,24
Parcela 2,21.7
Parcela 2,22.4
Parcela 2,15.5
Parcela 2,19.2
Parcela 2,21.5
Parcela 2,17
Parcela 2,15.5
Parcela 2,16
Parcela 2,15
Parcela 2,20
Parcela 2,20
Parcela 2,12.5
Parcela 2,16
Parcela 2,20.5
Parcela 2,20.5
Parcela 2,19
Parcela 2,19
Parcela 2,31
Parcela 2,31
Parcela 2,29.3
Parcela 2,31.1
Parcela 2,23
Parcela 2,20.5
Parcela 2,30.5
Parcela 2,31
Parcela 2,19.2
Parcela 2,20.5
Parcela 2,20.5
Parcela 2,25.6
Parcela 2,20.2
Parcela 2,17
Parcela 2,18.5
Parcela 2,26.5
Parcela 2,25
Parcela 2,27
Parcela 2,24.5
Parcela 2,28.8
Parcela 2,23.5
Parcela 2,28
Parcela 2,24.2
Parcela 2,26
Parcela 2,17
Parcela 2,20
Parcela 2,15
Parcela 2,10
Parcela 2,13.5
Parcela 2,13.6
Parcela 2,19
Parcela 2,17
Parcela 2,18.6
Parcela 2,20
Parcela 2,15.8
Parcela 2,26.5
Parcela 2,22.5
Parcela 2,24
Parcela 2,29
Parcela 2,25
Parcela 2,32
Parcela 2,27.5
Parcela 2,14.5
Parcela 2,22
Parcela 2,22
Parcela 2,24.5
Parcela 2,20.5
Parcela 2,21
Parcela 2,16.5
Parcela 2,30
Parcela 2,26
Parcela 2,21.3
Parcela 2,16
Parcela 2,20.3
Parcela 2,25.2
Parcela 2,18
Parcela 2,29.5
Parcela 2,31
Parcela 2,32
Parcela 2,29
Parcela 2,27
Parcela 2,17
Parcela 2,18.2
Parcela 2,26
Parcela 2,27.5
Parcela 2,20
Parcela 2,24
Parcela 2,16.6
Parcela 2,21
Parcela 2,20.2
Parcela 2,23.5
Parcela 2,29
Parcela 2,22
Parcela 2,27.3
Parcela 2,27
Parcela 2,21
Parcela 2,18
Parcela 2,26
Parcela 2,23
Parcela 2,21.5
Parcela 2,27.5
Parcela 2,25
Parcela 2,24.2
Parcela 2,22.5
Parcela 2,10.5
Parcela 2,12.5
Parcela 2,14.5
Parcela 2,21
Parcela 2,22.5
Parcela 2,22.4
Parcela 2,24.5
Parcela 2,22
